posicao,score,compatibilidade,nivel,titulo,empresa,localizacao,fonte,link,matches
75,2,MINIMA,nao_informado,IT Support Representative,Patten Title Company,"Austin, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-support-representative-at-patten-title-company-4415118605?position=20&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=QXAPDqEkUW4W4fqRVY0S4g%3D%3D,area:TI
76,2,MINIMA,nao_informado,Technical Support Analyst (Tier 2),"GCS Technologies, Inc.","Austin, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-analyst-tier-2-at-gcs-technologies-inc-4425493252?position=26&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=NTB0S2cTAfMi%2FQ3AIOXQhg%3D%3D,area:TI
77,2,MINIMA,nao_informado,Tier 1 Technician (LAK),IT Voice,"Lakeland, Flórida, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/tier-1-technician-lak-at-it-voice-4406567577?position=28&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=6H8Q9IeCPKpwAoc3Zw5YmA%3D%3D,area:TI
78,2,MINIMA,nao_informado,Technical Support Representative I,KnowledgeLake,St. Louis,LinkedIn,https://www.linkedin.com/jobs/view/technical-support-representative-i-at-knowledgelake-4426145908?position=31&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=diwxw6s0ZrHfGCDWtEn4FA%3D%3D,area:TI
79,2,MINIMA,nao_informado,Technology Support Representative II,Domino's,"Ann Arbor, Michigan, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technology-support-representative-ii-at-domino-s-4423134707?position=42&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=s%2B9%2BY632bfXgp6%2B31ucidw%3D%3D,area:TI
80,2,MINIMA,nao_informado,Technical Support Representative,EBSCO Information Services,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/technical-support-representative-at-ebsco-information-services-4418042319?position=51&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=A16GZz20sRb%2B8jDggK5Gdg%3D%3D,area:TI
81,2,MINIMA,nao_informado,Technical Support Representative,Innovativ Pharma,"Lakeland, Flórida, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-representative-at-innovativ-pharma-4392935083?position=54&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=nGJyc1AfO6teX8K6lm676w%3D%3D,area:TI
82,2,MINIMA,nao_informado,Technology Support Representative II,Domino's,"Ann Arbor, Michigan, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technology-support-representative-ii-at-domino-s-4423136700?position=56&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=a1qq9Woz2C7cGPRZPZpc6g%3D%3D,area:TI
83,1,MINIMA,nao_informado,11254 - Analista deSuporteN2,Nao informado,100% Home Office,Vagas.com,https://www.vagas.com.br/vagas/v2817622/11254-analista-de-suporte-n2,suporte*
84,1,MINIMA,junior,Analista deSuporteJúnior,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2816835/analista-de-suporte-junior,suporte*
